title2;price;location;info;description
FORD F-150 PLATINUM;$29,995.00;Edmonton 15/10/2021;"$29,995.00
FORD F-150 PLATINUM
Edmonton 15/10/2021
Whether it's the rugged style, the proven capability, or the unstoppable toughness that attracts you to the F-150, this Ford is the ultimate pickup truck. It's been the best-selling vehicle in Canada ...
Automatic | 133,475 km";"Whether it's the rugged style, the proven capability, or the unstoppable toughness that attracts you to the F-150, this Ford is the ultimate pickup truck. It's been the best-selling vehicle in Canada ...
Automatic | 133,475 km"
FORD F-150 PLATINUM;$15,000.00;Grande Prairie < 20 hours ago;"$15,000.00
Incredibly Awesome Army Truck
Grande Prairie < 20 hours ago
This vehicle is so amazing and fun! You can take it anywhere! It has the ability to carry loads and is super unique!
Manual | 9,000 km";"This vehicle is so amazing and fun! You can take it anywhere! It has the ability to carry loads and is super unique!
Manual | 9,000 km"
Incredibly Awesome Army Truck;$9,600.00;Edmonton < 5 hours ago;"$9,600.00
2010 JAGUAR XF
Edmonton < 5 hours ago
2010 Jaguar xf luxury, V8 , 4.2 L engine . Beige leather , with real wood , only 85K , fully loaded , vehicle was in accident seven years ago ,professionally repaired comes with rebuilt title .$9600 ...
Automatic | 85,000 km";"2010 Jaguar xf luxury, V8 , 4.2 L engine . Beige leather , with real wood , only 85K , fully loaded , vehicle was in accident seven years ago ,professionally repaired comes with rebuilt title .$9600 ...
Automatic | 85,000 km"
Incredibly Awesome Army Truck;Please Contact;Edmonton 16/09/2021;"Please Contact
Toyota Tacoma 2016 For Sale - 31,999.00
Edmonton 16/09/2021
This truck was my baby. The first vehicle I bought new, and i love it. I moved out to Mexico during the pandemic and this truck just isn't getting used like it should. It is in EXCELLENT condition - ...
Other | 137,000 km";"This truck was my baby. The first vehicle I bought new, and i love it. I moved out to Mexico during the pandemic and this truck just isn't getting used like it should. It is in EXCELLENT condition - ...
Other | 137,000 km"
2010 JAGUAR XF;$29,800.00;Edmonton 13/10/2021;"$29,800.00
2018 BMW X1 xDrive28i Sports Activity Vehicle
Edmonton 13/10/2021
This 2018 BMW X1is highly optioned with the X Line Package, mocha Dakota leather seating, sports seats, panorama roof, heads-up display, heated steering wheel and seats, Apple CarPlay, reversing ...
Automatic | 89,700 km";"This 2018 BMW X1is highly optioned with the X Line Package, mocha Dakota leather seating, sports seats, panorama roof, heads-up display, heated steering wheel and seats, Apple CarPlay, reversing ...
Automatic | 89,700 km"
2010 JAGUAR XF;$75.00;Edmonton < 4 minutes ago;"$75.00
6 Nokian Hakkapelliita R2 SUV tires
Edmonton < 4 minutes ago
215/65 R17 Purchased in 2014-2017 Lots of tread left on these, used over a few winters with low mileage. 75 each OBO They don’t fit my new vehicle so need to pass along!";215/65 R17 Purchased in 2014-2017 Lots of tread left on these, used over a few winters with low mileage. 75 each OBO They don’t fit my new vehicle so need to pass along!
Toyota Tacoma 2016 For Sale - 31,999.00;$2,999.00;Calgary < 4 minutes ago;"$2,999.00
** 2008 Honda Pilot 4X4 ** 3000 OBO!
Calgary < 4 minutes ago
Hi there, selling our 2008 Honda Pilot 4X4. It is equipped with the automatic 3.5L V6 engine. It’s been a great all year vehicle for our family and we have never experienced any major issues with it! ...
Automatic | 327,000 km";"Hi there, selling our 2008 Honda Pilot 4X4. It is equipped with the automatic 3.5L V6 engine. It’s been a great all year vehicle for our family and we have never experienced any major issues with it! ...
Automatic | 327,000 km"
Toyota Tacoma 2016 For Sale - 31,999.00;$45,000.00;Edmonton < 9 minutes ago;"$45,000.00
BMW X5 2017
Edmonton < 9 minutes ago
Lady driven BMW X5 2017 35i for sale. Excellent quiet vehicle, everything works good nothing needs to be fixed. Black exterior and black interior, panoramic sunroof, heated seats, never smoked in. ...
Automatic | 46,500 km";"Lady driven BMW X5 2017 35i for sale. Excellent quiet vehicle, everything works good nothing needs to be fixed. Black exterior and black interior, panoramic sunroof, heated seats, never smoked in. ...
Automatic | 46,500 km"
2018 BMW X1 xDrive28i Sports Activity Vehicle;$3,400.00;Edmonton < 10 minutes ago;"$3,400.00
2006 Chevy Malibu Maxx
Edmonton < 10 minutes ago
Selling my 2006 Chevy Malibu Maxx. It runs and drives good, we just don't need two vehicles at the moment. It got new tires in May It has power windows, locks and seats. Working AC and cruise New tie ...
Automatic | 148,000 km";"Selling my 2006 Chevy Malibu Maxx. It runs and drives good, we just don't need two vehicles at the moment. It got new tires in May It has power windows, locks and seats. Working AC and cruise New tie ...
Automatic | 148,000 km"
2018 BMW X1 xDrive28i Sports Activity Vehicle;$5,900.00;Calgary < 13 minutes ago;"$5,900.00
2007 hyundai tucson viva fwd
Calgary < 13 minutes ago
2007 tucson v6 fwd car complaints top rated vehicle at 110000km new iridium spark plugs ; new timming belt; new calipers; rotors and pads front and back; new serpentine belt; k+n air filter 4 extra ...
122,000 km";"2007 tucson v6 fwd car complaints top rated vehicle at 110000km new iridium spark plugs ; new timming belt; new calipers; rotors and pads front and back; new serpentine belt; k+n air filter 4 extra ...
122,000 km"
