title2;price;location;info;description;title;car_year
Michelin X-Ice on Rims;1000;Edmonton;"$1,000.00
Michelin X-Ice on Rims
Edmonton 12/10/2021
4 Michelin X-Ice winter tires on rims. Excellent condition. Won't fit my new vehicle. 225/55R18. 18 Inch wheels - 5 X 114.3 center bore 67.1 mm Barely used. $1000.00 OBO";4 Michelin X-Ice winter tires on rims. Excellent condition. Won't fit my new vehicle. 225/55R18. 18 Inch wheels - 5 X 114.3 center bore 67.1 mm Barely used. $1000.00 OBO;Michelin X-Ice on Rims;NA
Michelin X-Ice on Rims;11000;RedDeer;"$11,000.00
2011 Ford Edge Limited AWD - PRICE REDUCED - low mileage
Red Deer 10/10/2021
Fully loaded, 2011 Ford Edge, limited. AWD. Excellent vehicle. Great condition. Non-smokers. Never in an accident. Many options - Moonroof/sunroof, Adaptive Cruise Control, Hitch etc. (See Picture of ...
Automatic | 164,738 km | CARFAX Canada Report";"Fully loaded, 2011 Ford Edge, limited. AWD. Excellent vehicle. Great condition. Non-smokers. Never in an accident. Many options - Moonroof/sunroof, Adaptive Cruise Control, Hitch etc. (See Picture of ...
Automatic | 164,738 km | CARFAX Canada Report";Michelin X-Ice on Rims;NA
2011 Ford Edge Limited AWD - PRICE REDUCED - low mileage;NA;Edmonton;"Please Contact
Toyota Tacoma 2016 For Sale - 31,999.00
Edmonton 16/09/2021
This truck was my baby. The first vehicle I bought new, and i love it. I moved out to Mexico during the pandemic and this truck just isn't getting used like it should. It is in EXCELLENT condition - ...
Other | 137,000 km";"This truck was my baby. The first vehicle I bought new, and i love it. I moved out to Mexico during the pandemic and this truck just isn't getting used like it should. It is in EXCELLENT condition - ...
Other | 137,000 km";2011 Ford Edge Limited AWD - PRICE REDUCED - low mileage;2011
2011 Ford Edge Limited AWD - PRICE REDUCED - low mileage;37900;Calgary;"$37,900.00
Nissan Murano Platinum
Calgary 13/10/2021
Fully loaded V6 platinum Nissan Murano in excellent condition. No accident, clean vehicle with up to date service record from Nissan dealership. Pearl white colour, beige interior, heated front and ...
Automatic | 38,000 km";"Fully loaded V6 platinum Nissan Murano in excellent condition. No accident, clean vehicle with up to date service record from Nissan dealership. Pearl white colour, beige interior, heated front and ...
Automatic | 38,000 km";2011 Ford Edge Limited AWD - PRICE REDUCED - low mileage;2011
Toyota Tacoma 2016 For Sale - 31,999.00;29995;Edmonton;"$29,995.00
FORD F-150 PLATINUM
Edmonton < 4 hours ago
Whether it's the rugged style, the proven capability, or the unstoppable toughness that attracts you to the F-150, this Ford is the ultimate pickup truck. It's been the best-selling vehicle in Canada ...
Automatic | 133,475 km";"Whether it's the rugged style, the proven capability, or the unstoppable toughness that attracts you to the F-150, this Ford is the ultimate pickup truck. It's been the best-selling vehicle in Canada ...
Automatic | 133,475 km";Toyota Tacoma 2016  - 31,999.00;NA
Toyota Tacoma 2016 For Sale - 31,999.00;52000;St.Albert;"$52,000.00
2017 Ford F150 Lariat
St. Albert < 4 minutes ago
This is a mint condition F150 Lariat with a 502A package. It a personal vehicle not an abused work truck. No accidents, never smoked in, never abused. Have been using Mobil 1 full synthetic on this ...
Automatic | 98,800 km";"This is a mint condition F150 Lariat with a 502A package. It a personal vehicle not an abused work truck. No accidents, never smoked in, never abused. Have been using Mobil 1 full synthetic on this ...
Automatic | 98,800 km";Toyota Tacoma 2016  - 31,999.00;NA
Nissan Murano Platinum;18000;Calgary;"$18,000.00
2017 Subaru Forester AWD 69,0000 KM
Calgary < 7 minutes ago
SUV iConvenience Package Partial Zero Emission Vehicle AWD 69,0000 KM Mileage Covered under Warranty with Subaru until 100,000KM Engine and Transmission 2.5 4 Cylinder All WHEEL DRIVE Timing Belt ...
Automatic | 69,000 km";"SUV iConvenience Package Partial Zero Emission Vehicle AWD 69,0000 KM Mileage Covered under Warranty with Subaru until 100,000KM Engine and Transmission 2.5 4 Cylinder All WHEEL DRIVE Timing Belt ...
Automatic | 69,000 km";Nissan Murano Platinum;NA
Nissan Murano Platinum;7600;Edmonton;"$7,600.00
2013 Ford Escape SE AWD
Edmonton < 58 minutes ago
Up for sale is my 2013 Ford Escape SE, Ecoboost AWD (All Wheel Drive). This vehicle is a comfortable 5 passenger that only has 190k and is loaded with touch screen with Bluetooth, SYNC technology and ...
Automatic | 190,000 km";"Up for sale is my 2013 Ford Escape SE, Ecoboost AWD (All Wheel Drive). This vehicle is a comfortable 5 passenger that only has 190k and is loaded with touch screen with Bluetooth, SYNC technology and ...
Automatic | 190,000 km";Nissan Murano Platinum;NA
FORD F-150 PLATINUM;90;Calgary;"$90.00
Brand new Genuine BMWX5 All Weather Floor Mats $95
Calgary < 2 hours ago
This heavy rubber pad protects the interior of your vehicle. The product can be used in every season, heavy rubber material and deep surface lines can protect your car from rain, snow and mud. Foot ...";This heavy rubber pad protects the interior of your vehicle. The product can be used in every season, heavy rubber material and deep surface lines can protect your car from rain, snow and mud. Foot ...;FORD F-150 PLATINUM;NA
FORD F-150 PLATINUM;325;Calgary;"$325.00
FS: Continental Cross Contact LX M&S Tires 225/65R17
Calgary < 2 hours ago
Selling four (4) used Continental Cross Contact LX M&S Tires (102H) size 225/65-R17 in Very good condition. Tires have approx 7/32 tread remaining. Tires came as an extra set for a vehicle we just ...";Selling four (4) used Continental Cross Contact LX M&S Tires (102H) size 225/65-R17 in Very good condition. Tires have approx 7/32 tread remaining. Tires came as an extra set for a vehicle we just ...;FORD F-150 PLATINUM;NA
2017 Ford F150 Lariat;265;GrandePrairie;"$265.93
Front Leveling Kit
Grande Prairie
Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Grande Praire 13313-100 Street Grande Praire, AB, T8V 4H4 (780) 538-2211 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more in";Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Grande Praire 13313-100 Street Grande Praire, AB, T8V 4H4 (780) 538-2211 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more in;2017 Ford F150 Lariat;2017
2017 Ford F150 Lariat;30;Calgary;"$30.00
Brand new Genuine BMWX5 2 piece rear All Weather Floor Mats $30
Calgary < 2 hours ago
This heavy rubber pad protects the interior of your vehicle. The product can be used in every season, heavy rubber material and deep surface lines can protect your car from rain, snow and mud. Foot ...";This heavy rubber pad protects the interior of your vehicle. The product can be used in every season, heavy rubber material and deep surface lines can protect your car from rain, snow and mud. Foot ...;2017 Ford F150 Lariat;2017
